Table 1,,,,
Designator,Mid X,Mid Y,Layer,Rotation
C1,126.7901,-119.7355,top,0.0000
C2,113.7901,-83.4323,top,90.0000
C3,111.8100,-83.2400,top,90.0000
C4,112.1600,-85.7200,top,180.0000
C5,139.8600,-118.6000,top,0.0000
C6,133.4600,-109.0950,top,0.0000
C7,126.8600,-107.9950,top,90.0000
C8,113.1915,-117.0440,top,90.0000
D1,132.8450,-112.7250,top,-90.0000
D2,124.4475,-119.5300,top,90.0000
D3,109.6900,-88.1050,top,-90.0000
D4,134.1900,-101.3550,top,90.0000
D5,139.4900,-120.4050,top,180.0000
D6,115.7450,-108.8150,top,0.0000
D7,105.9700,-109.6750,top,90.0000
F1,130.5250,-119.9150,top,90.0000
FB1,133.0750,-117.3450,top,90.0000
J1,124.9325,-127.3030,top,0.0000
R1,107.7772,-90.2528,top,90.0000
R2,120.4750,-116.6250,top,180.0000
R3,128.9750,-116.6250,top,0.0000
R4,114.1750,-92.8150,top,0.0000
R5,138.5750,-115.9050,top,0.0000
R6,115.7750,-111.6950,top,180.0000
R7,110.3850,-109.1450,top,0.0000
R8,110.3850,-108.0350,top,0.0000
R9,110.3850,-110.2250,top,0.0000
R10,106.1150,-101.2150,top,-90.0000
R11,108.1050,-101.2150,top,-90.0000
SW2,104.1250,-92.1250,top,90.0000
SW3,137.7250,-101.9750,top,90.0000
U1,129.8793,-107.9171,top,180.0000
U2,110.5113,-116.9858,top,0.0000
U3,125.2200,-86.6750,top,0.0000